Reference, Value, Footprint, Datasheet, MPN, MFN, PurchasingLink, Desc, Link, Purchasing Link
"C2","C_100nF","footprints:C_0603_1608Metric","http://www.samsungsem.com/kr/support/product-search/mlcc/CL10A475KQ8NNNC.jsp","1276-6717-1-ND","DK","https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL10B104KA8WPNC/1276-6717-1-ND/5961576","","",""
"C1","C_10uF","footprints:C_0805_OEM","http://www.samsungsem.com/kr/support/product-search/mlcc/__icsFiles/afieldfile/2018/06/20/CL21A106KPFNNNE.pdf","1276-1052-1-ND","DK","https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21A106KPFNNNE/1276-1052-1-ND/3889138","","",""
"C30","C_10uF","footprints:C_0805_OEM","http://www.samsungsem.com/kr/support/product-search/mlcc/__icsFiles/afieldfile/2018/06/20/CL21A106KPFNNNE.pdf","1276-1052-1-ND","DK","https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21A106KPFNNNE/1276-1052-1-ND/3889138","","",""
"C33","C_10uF","footprints:C_0805_OEM","http://www.samsungsem.com/kr/support/product-search/mlcc/__icsFiles/afieldfile/2018/06/20/CL21A106KPFNNNE.pdf","1276-1052-1-ND","DK","https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21A106KPFNNNE/1276-1052-1-ND/3889138","","",""
"R18","R_10K","footprints:R_0805_OEM","http://www.bourns.com/data/global/pdfs/CRS.pdf","CRS0805-FX-1002ELFCT-ND","DK","https://www.digikey.com/products/en?keywords=CRS0805-FX-1002ELFCT-ND","","",""
"R16","R_10K","footprints:R_0805_OEM","http://www.bourns.com/data/global/pdfs/CRS.pdf","CRS0805-FX-1002ELFCT-ND","DK","https://www.digikey.com/products/en?keywords=CRS0805-FX-1002ELFCT-ND","","",""
"TP4","Test_Point_SMD","footprints:Test_Point_SMD",""
"TP3","Test_Point_SMD","footprints:Test_Point_SMD",""
"TP2","Test_Point_SMD","footprints:Test_Point_SMD",""
"TP1","Test_Point_SMD","footprints:Test_Point_SMD",""
"Q7","DNP","footprints:LFPAK56","https://assets.nexperia.com/documents/data-sheet/PSMN2R2-40YSD.pdf"
"Q9","PSMN2R2-40YSD","footprints:LFPAK56","https://assets.nexperia.com/documents/data-sheet/PSMN2R2-40YSD.pdf"
"Q10","PSMN2R2-40YSD","footprints:LFPAK56","https://assets.nexperia.com/documents/data-sheet/PSMN2R2-40YSD.pdf"
"Q13","PSMN2R2-40YSD","footprints:LFPAK56","https://assets.nexperia.com/documents/data-sheet/PSMN2R2-40YSD.pdf"
"Q14","PSMN2R2-40YSD","footprints:LFPAK56","https://assets.nexperia.com/documents/data-sheet/PSMN2R2-40YSD.pdf"
"C41","C_10uF","footprints:C_1206_OEM","https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL31A106KBHNNNE_Spec.pdf"
"C43","C_10uF","footprints:C_1206_OEM","https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL31A106KBHNNNE_Spec.pdf"
"R26","DNP","footprints:R_0805_OEM","~"
"C40","DNP","footprints:C_0805_OEM","~"
"R25","DNP","footprints:R_0805_OEM","~"
"C39","DNP","footprints:C_0805_OEM","~"
"C49","C_10uF","footprints:C_1206_OEM","https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL31A106KBHNNNE_Spec.pdf"
"C51","C_10uF","footprints:C_1206_OEM","https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL31A106KBHNNNE_Spec.pdf"
"R32","DNP","footprints:R_0805_OEM","~"
"C47","DNP","footprints:C_0805_OEM","~"
"R31","DNP","footprints:R_0805_OEM","~"
"C46","DNP","footprints:C_0805_OEM","~"
"C59","C_10uF","footprints:C_1206_OEM","https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL31A106KBHNNNE_Spec.pdf"
"C60","C_10uF","footprints:C_1206_OEM","https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL31A106KBHNNNE_Spec.pdf"
"R39","DNP","footprints:R_0805_OEM","~"
"C57","DNP","footprints:C_0805_OEM","~"
"R38","DNP","footprints:R_0805_OEM","~"
"C56","DNP","footprints:C_0805_OEM","~"
"Q8","DNP","footprints:LFPAK56","https://assets.nexperia.com/documents/data-sheet/PSMN2R2-40YSD.pdf"
"Q12","DNP","footprints:LFPAK56","https://assets.nexperia.com/documents/data-sheet/PSMN2R2-40YSD.pdf"
"Q11","DNP","footprints:LFPAK56","https://assets.nexperia.com/documents/data-sheet/PSMN2R2-40YSD.pdf"
"Q15","DNP","footprints:LFPAK56","https://assets.nexperia.com/documents/data-sheet/PSMN2R2-40YSD.pdf"
"Q16","DNP","footprints:LFPAK56","https://assets.nexperia.com/documents/data-sheet/PSMN2R2-40YSD.pdf"
"C11","DNP","footprints:C_0805_OEM","~"
"R13","DNP","footprints:R_0805_OEM","~"
"C21","DNP","footprints:C_0805_OEM","~"
"R15","DNP","footprints:R_0805_OEM","~"
"C31","DNP","footprints:C_0805_OEM","~"
"R19","DNP","footprints:R_0805_OEM","~"
"U12","DRV8320S","footprints:QFN50P500X500X80-33N","https://www.ti.com/lit/ds/symlink/drv8320r.pdf?HQS=dis-dk-null-digikeymode-dsf-pf-null-wwe&ts=1636882321496&ref_url=https%253A%252F%252Fwww.ti.com%252Fgeneral%252Fdocs%252Fsuppproductinfo.tsp%253FdistId%253D10%2526gotoUrl%253Dhttps%253A%252F%252Fwww.ti.com%252Flit%252Fgpn%252Fdrv8320r"
"NT2","Net-Tie_2","NetTie:NetTie-2_SMD_Pad0.5mm","~"
"C53","C_1uF","footprints:C_0805_OEM","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_Y5V_6.3V-to-50V_9.pdf","","","https://www.digikey.com/product-detail/en/yageo/CC0805ZKY5V9BB105/311-1909-1-ND/5195811#images","","",""
"C55","C_1uF","footprints:C_0805_OEM","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_Y5V_6.3V-to-50V_9.pdf","","","https://www.digikey.com/product-detail/en/yageo/CC0805ZKY5V9BB105/311-1909-1-ND/5195811#images","","",""
"C50","C_47uF","footprints:C_0805_OEM","http://www.samsungsem.com/kr/support/product-search/mlcc/__icsFiles/afieldfile/2018/06/22/CL21A476MQYNNNG.pdf","1276-6467-1-ND","DK","https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21A476MQYNNNG/1276-6467-1-ND/5958095","","",""
"C45","C_1uF","footprints:C_0805_OEM","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_Y5V_6.3V-to-50V_9.pdf","","","https://www.digikey.com/product-detail/en/yageo/CC0805ZKY5V9BB105/311-1909-1-ND/5195811#images","","",""
"R1","R_1m_3W_1%","footprints:WSL27261L000FEB","https://www.vishay.com/docs/30131/wsl2726.pdf","WSL27261L000FEB","","","","",""
"U8","LMP8481ASQDGKRQ1","footprints:LMP8481ASQDGKRQ1","https://www.ti.com/lit/ds/symlink/lmp8480-q1.pdf?HQS=dis-dk-null-digikeymode-dsf-pf-null-wwe&ts=1637012068327&ref_url=https%253A%252F%252Fwww.ti.com%252Fgeneral%252Fdocs%252Fsuppproductinfo.tsp%253FdistId%253D10%2526gotoUrl%253Dhttps%253A%252F%252Fwww.ti.com%252Flit%252Fgpn%252Flmp8480-q1"
"R6","R_300K","footprints:R_0805_OEM","https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf","P300KDACT-ND","DK","https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERA-6AEB304V/P300KDACT-ND/1466006","","",""
"R7","R_97.6K","footprints:R_0805_OEM","~"
"J4","Conn_01x10","footprints:PinHeader_1x10_P2.54mm_Vertical",""
"R22","R_1","footprints:R_0805_OEM","","","","","","https://www.digikey.com/product-detail/en/yageo/RC0603FR-071RL/311-1.00HRCT-ND/729789",""
